bat,subb,test,id,num_pvals,unique,ratio,min,max,KS,log_KS,chi2_1.0,chi2_2.0,chi2_3.0,chi2_4.0,log_chi2_1.0,log_chi2_2.0,log_chi2_3.0,log_chi2_4.0,L_9,L_8,L_7,L_6,L_5,L_4,L_3,L_2,L_1,num_pvals2,R_1,R_2,R_3,R_4,R_5,R_6,R_7,R_8,R_9,l_9,l_8,l_7,l_6,l_5,l_4,l_3,l_2,l_1,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,log_l_9,log_l_8,log_l_7,log_l_6,log_l_5,log_l_4,log_l_3,log_l_2,log_l_1,log_r_1,log_r_2,log_r_3,log_r_4,log_r_5,log_r_6,log_r_7,log_r_8,log_r_9
Dieharder,Dieharder, Diehard Birthdays Test,000|000|000,10031224,10905,920,0.0,0.99995605,0.0,-1000,0.0,0.0,0.0,0.0,-1000,-1000,-1000,-1000,1,1,10,52,248,1539,11131,95033,944666,10031224,955205,89142,6928,209,0,0,0,0,0,99.7,10.0,10.0,5.2,2.5,1.5,1.1,0.9,0.9,1.0,0.9,0.7,0.2,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.7,0.4,0.2,0.0,-0.0,-0.0,0.0,-0.0,-0.2,-0.7,-1000,-1000,-1000,-1000,-1000
Dieharder,Dieharder, Diehard OPERM5 Test,001|000|000,7472256,7200805,1,2e-08,0.99999974,0.2601900919119425,-0.6,0.6146882310194435,0.8770854102872274,0.28396886218508344,0.44861362115922443,-0.2,-0.1,-0.5,-0.3,0,0,1,7,70,717,7321,74531,747465,7472256,745593,74248,7437,734,74,3,0,0,0,0.0,0.0,1.3,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.0,0.0,0.0,-1000,-1000,0.1,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-1000,-1000,-1000
Dieharder,Dieharder, Diehard Parking Lot Test,010|000|000,10010396,221,45296,1e-08,0.99999992,0.0,-1000,0.0,0.0,0.0,0.0,-1000,-1000,-1000,-1000,0,1,1,10,103,1051,10805,108384,984096,10010396,943407,101122,9585,915,101,9,2,0,0,0.0,10.0,1.0,1.0,1.0,1.0,1.1,1.1,1.0,0.9,1.0,1.0,0.9,1.0,0.9,2.0,0.0,0.0,-1000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.3,-1000,-1000
Dieharder,Diehard, STS Monobit Test,100|000|000,10012066,7582,1321,3.7e-07,0.99999978,0.0009268635576628056,-3.0,0.00021830114149552958,0.0,0.0,0.0,-3.7,-1000,-1000,-1000,0,0,0,12,96,978,10087,100625,1002004,10012066,1001109,99620,9985,1037,103,8,0,0,0,0.0,0.0,0.0,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.0,0.0,0.0,-1000,-1000,-1000,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-1000,-1000,-1000
Dieharder,Diehard, STS Runs Test,101|000|000,5381821,2512412,2,6e-07,0.99999968,0.17096305753230148,-0.8,0.05322923121705619,5.033919067662212e-132,0.0,0.0,-1.3,-131.3,-1000,-1000,0,0,0,4,46,529,5501,53870,537780,5381821,538631,54111,5347,561,63,6,0,0,0,0.0,0.0,0.0,0.7,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,1.1,0.0,0.0,0.0,-1000,-1000,-1000,-0.2,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,-1000,-1000,-1000
Dieharder,Diehard, STS Serial Test (Generalized) Subtest 1,102|000|001,3704196,7134,519,4.5e-07,0.99999917,0.049262994116131484,-1.3,0.10325117634028975,2.4644306943433945e-111,0.0,0.0,-1.0,-110.6,-1000,-1000,0,0,0,4,45,403,3775,37231,370712,3704196,370625,37059,3677,356,25,1,0,0,0,0.0,0.0,0.0,1.1,1.2,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.3,0.0,0.0,0.0,-1000,-1000,-1000,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.5,-1000,-1000,-1000
Dieharder,Diehard, STS Serial Test (Generalized) Subtest 10,102|000|010,3704196,1749350,2,1.4e-07,0.99999986,0.8626574623122452,-0.1,0.7146962468701648,0.7332299641860622,0.5547401581327364,0.23784239101770177,-0.1,-0.1,-0.3,-0.6,0,0,0,5,40,376,3642,37317,370197,3704196,370506,37180,3664,363,37,9,0,0,0,0.0,0.0,0.0,1.3,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.4,0.0,0.0,0.0,-1000,-1000,-1000,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,-1000,-1000,-1000
Dieharder,Diehard, STS Serial Test (Generalized) Subtest 11,102|000|011,3704196,1135456,3,2e-07,0.99999997,0.35423728808826543,-0.5,0.7878712496856191,0.6965996660354763,0.5915837179504752,0.08230505768691736,-0.1,-0.2,-0.2,-1.1,0,0,0,5,41,351,3732,36826,370999,3704196,370027,36924,3705,356,32,5,1,0,0,0.0,0.0,0.0,1.3,1.1,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.3,2.7,0.0,0.0,-1000,-1000,-1000,0.1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.1,0.4,-1000,-1000
Dieharder,Diehard, STS Serial Test (Generalized) Subtest 12,102|000|012,3704196,1434476,3,2e-08,0.99999981,0.3430842057549864,-0.5,0.5913361320876545,0.6892823156692077,0.3309799373805649,0.022957852858016336,-0.2,-0.2,-0.5,-1.6,0,0,1,3,34,374,3713,37016,369874,3704196,370342,37099,3692,360,33,4,0,0,0,0.0,0.0,2.7,0.8,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.1,0.0,0.0,0.0,-1000,-1000,0.4,-0.1,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-1000,-1000,-1000
Dieharder,Diehard, STS Serial Test (Generalized) Subtest 13,102|000|013,3704196,877577,4,1e-07,0.99999981,0.7564720219690686,-0.1,0.4951000756676097,0.7499471595424883,0.18597997373906913,0.21661783282587355,-0.3,-0.1,-0.7,-0.7,0,0,1,8,47,403,3696,36917,370957,3704196,370038,36833,3751,358,44,8,0,0,0,0.0,0.0,2.7,2.2,1.3,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,2.2,0.0,0.0,0.0,-1000,-1000,0.4,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,-1000,-1000,-1000
